2026-03-14 00:06:09,240 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:09,241 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:20,557 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:20,558 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:29,293 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:29,294 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:29,427 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:29,427 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:29,630 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:29,631 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:29,796 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:29,797 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:29,959 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:29,960 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:30,129 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:30,131 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
2026-03-14 00:06:30,312 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis requested | ticker=AAPL start=2025-01-01 end=2025-01-31
2026-03-14 00:06:30,313 | INFO | stock_analysis.services.Analysis.ai_analysis_service | Stock analysis completed | ticker=AAPL trend=TrendSignal.BULLISH risk=RiskLevel.MEDIUM
